entry_date,exit_date,direction,qty,entry_price,exit_price,stop_loss,take_profit,pnl,status,confluence,factors
2024-03-04 12:00:00+00:00,2024-03-04 12:00:00+00:00,LONG,22.6801,20.0629,20.2242,19.9637,20.2282,3.66,CLOSED,2,EMA_trend|MACD_confirm
2024-03-05 12:00:00+00:00,2024-03-07 12:00:00+00:00,LONG,19.5824,20.3931,20.5852,20.2754,20.5893,3.76,CLOSED,2,EMA_trend|MACD_confirm
2024-03-06 16:00:00+00:00,2024-03-08 12:00:00+00:00,LONG,16.544,20.5442,20.7722,20.4048,20.7764,3.77,CLOSED,2,EMA_trend|MACD_confirm
2024-03-19 12:00:00+00:00,2024-03-20 16:00:00+00:00,LONG,15.5425,20.6345,20.8896,20.4789,20.8938,3.96,CLOSED,2,EMA_trend|RSI_filter
2024-03-20 16:00:00+00:00,2024-03-20 16:00:00+00:00,LONG,15.6772,20.6517,20.9045,20.4974,20.9087,3.96,CLOSED,2,EMA_trend|RSI_filter
2024-03-27 12:00:00+00:00,2024-03-28 16:00:00+00:00,LONG,13.6336,20.9181,21.2239,20.732,21.2282,4.17,CLOSED,3,EMA_trend|RSI_filter|Order_Block
2024-04-02 12:00:00+00:00,2024-04-03 16:00:00+00:00,LONG,12.6558,21.6236,21.9615,21.4182,21.9659,4.28,CLOSED,3,EMA_trend|MACD_confirm|Order_Block
2024-04-25 12:00:00+00:00,2024-05-02 12:00:00+00:00,LONG,8.4479,22.1662,21.8466,21.8509,22.6917,-2.7,CLOSED,4,EMA_trend|RSI_filter|FVG_zone|Order_Block
2024-04-26 16:00:00+00:00,2024-04-30 12:00:00+00:00,LONG,8.7121,22.3904,22.0803,22.0847,22.9,-2.7,CLOSED,3,EMA_trend|RSI_filter|Order_Block
2024-05-01 16:00:00+00:00,2024-05-03 12:00:00+00:00,LONG,8.8263,22.1006,21.799,21.8034,22.5959,-2.66,CLOSED,3,EMA_trend|RSI_filter|FVG_zone
